Dataset,g,m,k
1.1,8,4,4
1.34,6,2,4
2.19,8,4,4
2.31,15,10,5
2.41,10,6,4
2.8,12,8,4
3.19,9,2,7
3.25,15,9,6
3.33,5,1,4
3.50,14,9,5
