dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
2.31,15,5,10,0.01,1,0.9950083194675541,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9943427620632279,0.9938807911638605,0.9948047329625953,0.9736180904522613,0.890284757118928,0.9255653266331657,0.9422110552763819,0.9895309882747069,0.9442420435510888,0.8954430131450322,0.9930410739571454,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
2.31,15,5,10,0.01,2,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9510050251256281,0.9822026800670017,0.9615787269681743,0.9907872696817421,0.9337311557788944,0.9638609715242883,0.9351429877016857,0.9925789553468909,0.34071196219445576,0.29952478263367227,0.2587895236983864,0.3576631813965503,0.26677533303887624,0.3046929565923882,0.25030440661138287,0.35908150657339355
2.31,15,5,10,0.01,4,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9804229480737018,0.9797948073701841,0.9885887772194304,0.960217755443886,0.9913107202680067,0.9800670016750418,0.9649457563153541,0.9951882470347295,0.2057008279166544,0.17396713438200576,0.14225962145687074,0.11744617249531351,0.16661893692320798,0.16119853863481048,0.11980331736007309,0.20259375990954787
2.31,15,5,10,0.01,6,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9981155778894473,0.9900544388609714,0.9676507537688441,0.9937185929648242,0.9823073701842546,0.9863693467336683,0.9715153570319942,1.0012233364353422,0.0851447229287841,0.11345575622767225,0.07741395647691067,0.10279689948099405,0.08691779706559692,0.09314582643599159,0.07498254623398834,0.11130910663799484
2.31,15,5,10,0.01,8,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.961997487437186,0.9930904522613067,0.9909966499162479,0.9940326633165829,0.9937185929648241,0.9867671691792295,0.9695116215115847,1.0040227168468743,0.05378676234253242,0.0593037950520245,0.07066566700363745,0.07272063782319757,0.07530850345234157,0.06635707313474672,0.05479311283497431,0.07792103343451913
2.31,15,5,10,0.01,10,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9928810720268008,0.9980108877721944,0.992462311557789,0.9980108877721944,0.9979061976549414,0.995854271356784,0.9922418134719222,0.9994667292416457,0.0626364641351966,0.046587750340837154,0.05168596605829891,0.07422766646966876,0.0513830657634463,0.05730418255348955,0.04347336878006106,0.07113499632691803
2.31,15,5,10,0.01,15,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9988484087102177,0.9982202680067002,0.9932998324958124,0.9752931323283082,0.9938232830820771,0.9918969849246231,0.9799603255808733,1.0038336442683728,0.031448790514216805,0.034125477702586525,0.026550263611919055,0.03317558511967508,0.03518389850747786,0.03209680309117506,0.027886414489435584,0.03630719169291454
2.31,15,5,10,0.01,20,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9979061976549414,0.9989530988274706,0.9989530988274707,0.9993718592964824,0.998534338358459,0.9987437185929648,0.9980558764340139,0.9994315607519157,0.026912308210509262,0.025021752611091165,0.025285922524926854,0.023083144540785007,0.024513006718892685,0.024963226921240998,0.023246777047660584,0.026679676794821413
2.31,15,5,10,0.01,25,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9979061976549414,0.995603015075377,0.9981155778894472,0.9994765494137354,0.9995812395309883,0.9981365159128979,0.9961387264329274,1.0001343053928682,0.017931363463212543,0.021381783426009007,0.018241400280046744,0.01855791986642307,0.016688140807921453,0.01856012156872256,0.016412813425663222,0.0207074297117819
2.31,15,5,10,0.01,30,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9996859296482413,0.9994765494137354,0.9951842546063652,0.9962311557788944,0.9988484087102177,0.9978852596314909,0.9953456272539885,1.0004248920089933,0.01644730393452724,0.01737365592362832,0.013863532643961082,0.017731360097404784,0.019154999480377684,0.016914170415979823,0.014475904929425434,0.01935243590253421
2.31,15,5,10,0.01,35,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9984296482412061,0.9944514237855947,0.9996859296482412,0.9995812395309883,0.9982202680067002,0.998073701842546,0.9954294365882391,1.000717967096853,0.014360719917176034,0.013809624445553151,0.012457973990283078,0.013609017609461769,0.012007765713481085,0.013249020335191024,0.012031458407493516,0.014466582262888533
2.31,15,5,10,0.01,40,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9992671691792295,0.9980108877721943,0.9993718592964824,0.9993718592964824,0.9998953098827471,0.9991834170854272,0.99831432951889,1.0000525046519646,0.012944211746105324,0.01185104748709317,0.030686743728712135,0.011751058368838557,0.013386094200192671,0.016123831106188372,0.005978185763941204,0.02626947644843554
2.31,15,5,10,0.01,45,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9987437185929647,0.9966499162479061,0.9972780569514239,0.9978015075376885,0.9995812395309883,0.9980108877721943,0.996563380954814,0.9994583945895745,0.010594954806705558,0.011397909822371547,0.010350932163677804,0.010983312636156428,0.010685586279928326,0.010802539141767934,0.010302831703136062,0.011302246580399807
2.31,15,5,10,0.01,50,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121464,0.9941763727121465,0.9941763727121464,0.9941763727121466,0.9995812395309883,0.998743718592965,0.9985343383584591,0.9990577889447236,0.998429648241206,0.9988693467336685,0.9982923904756732,0.9994463029916637,0.010742812615288047,0.012409662963039539,0.010866407251068761,0.011070316436840748,0.01507897797393181,0.012033635448033781,0.009763381211031744,0.014303889685035818
