dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
CTCF,13,6,7,1.0,50,0.91,0.912,0.915,0.9155,0.912,0.9128999999999999,0.9100414748090129,0.915758525190987,0.968917,0.968485,0.967791,0.969354,0.968645,0.9686384,0.9679220547794651,0.9693547452205349,0.03584292569635474,0.03193079729938875,0.03269816571007593,0.032653910343751785,0.03476091420152104,0.03357734265021846,0.031530432239435045,0.03562425306100187
CTCF,13,6,7,1.0,70,0.915,0.9115,0.911,0.9125,0.9125,0.9125,0.9105864672656225,0.9144135327343774,0.9696210000000001,0.9684240000000001,0.968712,0.9688,0.9688819999999999,0.9688878000000001,0.9683355243795901,0.96944007562041,0.02361471759364087,0.024550584749061053,0.025113680919967837,0.023567083284930988,0.024153459802405408,0.02419990527000123,0.02338971891690691,0.025010091623095553
CTCF,13,6,7,1.0,90,0.91,0.913,0.9135,0.913,0.9125,0.9123999999999999,0.9106772611174242,0.9141227388825756,0.9690040000000001,0.969376,0.9692569999999999,0.9679119999999999,0.969339,0.9689775999999999,0.9682163280157599,0.9697388719842399,0.018148256284501865,0.017896084837275283,0.01825221107085394,0.01848946809349809,0.018125053241865082,0.018182214705598852,0.017914755665710613,0.018449673745487092
CTCF,13,6,7,1.0,110,0.911,0.915,0.916,0.9145,0.915,0.9143000000000001,0.9119116116119002,0.9166883883881001,0.9695249999999999,0.969412,0.969442,0.9696769999999999,0.969136,0.9694383999999999,0.9691927315141974,0.9696840684858025,0.014544155962195273,0.015117332796654233,0.015206081771112255,0.016553336295020555,0.01599514279121456,0.015483209923239375,0.014501640538846325,0.016464779307632425
CTCF,13,6,7,1.0,130,0.9105,0.917,0.912,0.913,0.9145,0.9134,0.9103145211771285,0.9164854788228715,0.969591,0.969373,0.9687830000000001,0.969052,0.9689460000000001,0.969149,0.9687418392714577,0.9695561607285423,0.012818904314338362,0.012531732264679048,0.013058768927347723,0.012091898720639182,0.012393382753752642,0.012578937396151391,0.012113649619545789,0.013044225172756994
CTCF,13,6,7,1.0,150,0.913,0.9135,0.9165,0.916,0.9155,0.9148999999999999,0.9129664297272259,0.916833570272774,0.9693299999999999,0.9696840000000001,0.96952,0.969816,0.969533,0.9695766000000001,0.9693486919051149,0.9698045080948854,0.010588912467782319,0.010740420137176111,0.0110291013872324,0.010905645073655969,0.010732958178495015,0.010799407448868361,0.010587732974938965,0.011011081922797757
CTCF,13,6,7,1.0,170,0.913,0.9135,0.916,0.914,0.913,0.9139000000000002,0.9123541407887927,0.9154458592112076,0.9692559999999999,0.97002,0.968985,0.969264,0.9687599999999998,0.969257,0.9686669769980976,0.9698470230019025,0.00997141301988111,0.00928843286621509,0.009201873836246549,0.009423947573025952,0.009588666314670757,0.009494866722007892,0.009117543832426975,0.009872189611588809
CTCF,13,6,7,1.0,190,0.9165,0.9145,0.916,0.9135,0.9125,0.9145999999999999,0.9125222987326327,0.916677701267367,0.969651,0.969196,0.969553,0.9695819999999999,0.969327,0.9694618,0.9692234596927403,0.9697001403072598,0.008471768008718274,0.00825901562790144,0.009686972499234163,0.009169930862752005,0.008534312853299168,0.008824399970381012,0.008092033362448414,0.00955676657831361
CTCF,13,6,7,1.0,210,0.9125,0.913,0.9145,0.9135,0.9145,0.9136,0.9124894219579208,0.9147105780420791,0.9691659999999999,0.9695389999999999,0.9695499999999999,0.9691019999999999,0.9696089999999999,0.9693931999999998,0.9690962171758724,0.9696901828241273,0.007804736676119385,0.0076518549703042575,0.007505552205236165,0.007529883704666441,0.007971428802205326,0.007692691271706314,0.007449499624487871,0.007935882918924757
CTCF,13,6,7,1.0,230,0.9155,0.912,0.914,0.913,0.914,0.9137000000000001,0.9120810682152913,0.9153189317847088,0.969167,0.9690580000000001,0.969501,0.9696229999999999,0.969237,0.9693172000000001,0.9690237146491182,0.969610685350882,0.006847231103625653,0.007059353472314505,0.006868246961368986,0.007218609513965264,0.007054540347661941,0.00700959627978727,0.006818722635436894,0.007200469924137645
