dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
1.34,6,4,2,0.001,1,0.9975747776879548,0.9975747776879548,0.9983831851253031,0.9951495553759094,0.9991915925626516,0.9975747776879548,0.9956968952017905,0.999452660174119,0.9995938261575954,0.9995938261575954,1.0,0.9768480909829407,0.9998646087191984,0.995180070403466,0.9824537629290023,1.0079063778779298,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
1.34,6,4,2,0.001,2,0.9967663702506063,0.9959579628132579,0.9959579628132579,0.9975747776879548,0.9983831851253031,0.996928051738076,0.9956192952427577,0.9982368082333942,0.9998646087191985,1.0,0.9995938261575955,0.9991876523151908,0.9998646087191985,0.9997021391822367,0.9993007809145591,1.0001034974499143,0.397405226952391,0.4179184715095055,0.44363091599647975,0.39116012658718935,0.4067899917162914,0.41138094655237134,0.3857226358002789,0.4370392573044638
1.34,6,4,2,0.001,4,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9983831851253031,0.9975747776879548,0.9977364591754245,0.9972875594009383,0.9981853589499108,1.0,1.0,0.9999999999999999,1.0,0.9995938261575954,0.9999187652315191,0.9996932213561984,1.0001443091068398,0.17659267000269893,0.15557976626641548,0.16766721515490873,0.13487673220905316,0.18961052601057574,0.1648653819287304,0.1389443003878248,0.19078646346963601
1.34,6,4,2,0.001,6,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,1.0,1.0,1.0,1.0,0.9998646087191985,0.9999729217438397,0.9998977404520661,1.0000481030356132,0.11711792892583875,0.10776159559640239,0.09861483886124078,0.11196802297230857,0.09905321050399032,0.10690311937195615,0.0968723256539999,0.1169339130899124
1.34,6,4,2,0.001,8,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9959579628132579,0.9975747776879548,0.9972514147130154,0.9963536151640427,0.998149214261988,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,0.06275410049233712,0.06876615157191149,0.06494439600442829,0.06260720228473159,0.0802952148034767,0.06787341303137703,0.05871498113849445,0.07703184492425962
1.34,6,4,2,0.001,10,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06263925544246206,0.059905689422307014,0.05468132792462066,0.05391129295765076,0.07064367743549556,0.060356248636507216,0.05191228311197602,0.0688002141610384
1.34,6,4,2,0.001,15,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,0.9975747776879548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0347061101374489,0.04765839840688496,0.033821473297170834,0.03470611013744889,0.04765839840688496,0.03971009807716771,0.030689713598032096,0.04873048255630332
