dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
RAD21,14,6,8,100.0,35,0.914,0.913,0.914,0.908,0.919,0.9136,0.9087432046458739,0.918456795354126,0.974262,0.97242,0.972943,0.971634,0.9732470000000001,0.9729011999999999,0.971689312593168,0.9741130874068318,0.046574420432645806,0.04673883606829421,0.048012601590188275,0.04767331846212916,0.04706880870962774,0.047213597052577036,0.0464520559581014,0.04797513814705267
RAD21,14,6,8,100.0,40,0.9105,0.9135,0.91,0.9135,0.9145,0.9124000000000001,0.9099011994053221,0.9148988005946781,0.972264,0.9718870000000002,0.971786,0.973656,0.972443,0.9724072000000001,0.9714784828889486,0.9733359171110517,0.040725444115026134,0.044080054369503296,0.04206383567173393,0.04141205829517674,0.04360088562542558,0.042376455615373135,0.0406035361676147,0.04414937506313157
RAD21,14,6,8,100.0,45,0.909,0.913,0.9125,0.913,0.9155,0.9126,0.9097079622317366,0.9154920377682634,0.972984,0.9728089999999999,0.972633,0.9733040000000001,0.9744749999999999,0.973241,0.9723308801934252,0.9741511198065749,0.03791634769343136,0.03664297941788916,0.03650374045018269,0.0376434933284974,0.036296724676812255,0.037000657113362576,0.03609626277194351,0.03790505145478164
RAD21,14,6,8,100.0,50,0.914,0.9175,0.916,0.9105,0.9165,0.9148999999999999,0.9114601200903168,0.918339879909683,0.9731120000000001,0.973489,0.97498,0.973118,0.9745139999999999,0.9738426,0.9727802130981792,0.9749049869018208,0.03314415783424339,0.032378434691347845,0.03191581662045551,0.032909250032419395,0.033595338456369486,0.032788599526967124,0.031973962156692674,0.033603236897241574
RAD21,14,6,8,100.0,70,0.914,0.913,0.9135,0.9155,0.9095,0.9131,0.910344456911815,0.9158555430881851,0.973671,0.973286,0.974028,0.9727439999999999,0.973841,0.973514,0.972880672848795,0.974147327151205,0.023084222064869923,0.0237844309743831,0.02712888662294973,0.02453901518430541,0.022742841460331304,0.024255879261367894,0.022085748179734105,0.026426010343001682
RAD21,14,6,8,100.0,90,0.913,0.9175,0.916,0.915,0.912,0.9147000000000001,0.9119374720005121,0.917462527999488,0.9734510000000001,0.9740099999999999,0.973857,0.973369,0.973722,0.9736817999999999,0.9733468159436544,0.9740167840563455,0.01823037718800388,0.01886367864641664,0.020597448239275392,0.017905174987078117,0.019073194882904727,0.01893397478873575,0.017639879366482702,0.020228070210988797
RAD21,14,6,8,100.0,110,0.914,0.9115,0.9105,0.9135,0.915,0.9128999999999999,0.9106020827943132,0.9151979172056867,0.9731310000000001,0.9737069999999999,0.9732040000000001,0.9736039999999999,0.973697,0.9734686,0.9731221995550056,0.9738150004449945,0.015322305388411266,0.01530673391050936,0.015286718616171391,0.015267249551584537,0.015742237791829684,0.015385049051701249,0.015135787190917956,0.01563431091248454
RAD21,14,6,8,100.0,130,0.9105,0.9125,0.914,0.915,0.91,0.9124000000000001,0.9097153053544704,0.9150846946455298,0.9731540000000001,0.9739269999999998,0.9733100000000001,0.973539,0.973339,0.9734538,0.9730839410364673,0.9738236589635327,0.012854809253482062,0.013282833930905109,0.012897586004919106,0.012411488692176106,0.01220347943261939,0.012730039462820355,0.012200341640137783,0.013259737285502927
RAD21,14,6,8,100.0,150,0.9145,0.914,0.9155,0.913,0.909,0.9132,0.9100772705866417,0.9163227294133584,0.974306,0.9739289999999999,0.97314,0.9732679999999998,0.9734679999999998,0.9736221999999998,0.9730191740194714,0.9742252259805282,0.012676051770878648,0.010902101378094452,0.011600969851668216,0.011176618581758188,0.010960067607550646,0.011463161837990031,0.010554943245657894,0.012371380430322168
RAD21,14,6,8,100.0,170,0.917,0.9135,0.914,0.915,0.9125,0.9144,0.9122764278345266,0.9165235721654734,0.9742190000000001,0.9730850000000001,0.974313,0.973675,0.973929,0.9738442,0.9732319788075414,0.9744564211924587,0.00957081202584813,0.009713839440091914,0.00999643099471177,0.010070019054553002,0.00976212648082819,0.0098226455992066,0.009566431849039957,0.010078859349373245
RAD21,14,6,8,100.0,190,0.9135,0.9125,0.9135,0.913,0.912,0.9128999999999999,0.9120905341076456,0.9137094658923542,0.9735830000000001,0.9738180000000001,0.973985,0.974142,0.973542,0.973814,0.9734948983917405,0.9741331016082594,0.008787785726258216,0.00877576289062923,0.008917940990656752,0.009418019279544585,0.00882092695027516,0.008944087167472789,0.008607903967918126,0.009280270367027452
RAD21,14,6,8,100.0,210,0.9125,0.916,0.914,0.912,0.9155,0.914,0.9118050274172873,0.9161949725827128,0.9738990000000001,0.9740530000000001,0.973919,0.974109,0.973687,0.9739334,0.9737300898899186,0.9741367101100813,0.007929157939448253,0.008129567394529361,0.007665083984409035,0.007979215239139364,0.007955501469165146,0.007931705205338233,0.0077229484027587225,0.008140462007917744
RAD21,14,6,8,100.0,230,0.9095,0.9145,0.914,0.917,0.915,0.914,0.9105713432194488,0.9174286567805513,0.974248,0.973999,0.9732250000000001,0.973576,0.974088,0.9738272,0.9733076445463169,0.9743467554536831,0.008273173270446153,0.007134742222946301,0.0072516691245193814,0.007177995495403192,0.007025564841370093,0.007372628990937024,0.0067393386222024424,0.008005919359671605
